거나/EC	2급	거나	EC
게/EC	2급	게	EC
게/EC	2급	게	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ다/EF	3급	ㄴ다	EF
ㄴ다/EF	3급	ㄴ다	EF
ㄴ다/EF	3급	ㄴ다	EF
ㄴ다/EF	3급	ㄴ다	EF
ㄴ다/EF	3급	ㄴ다	EF
ㄴ다/EF	3급	ㄴ다	EF
ㄴ데/EC	2급	ㄴ데	EC
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는데/EC	2급	는데	EC
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
면/EC	2급	면	EC
아/EC	1급	아	EC
아/EC	1급	아	EC
아/EC	1급	아	EC
아서/EC	1급	아서	EC
았/EP	1급	았	EP
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어야/EC	3급	어야	EC
어야/EC	3급	어야	EC
으면/EC	2급	으면	EC
으면/EC	2급	으면	EC
은/ETM	2급	은	ET
은/ETM	2급	은	ET
은/ETM	2급	은	ET
을/ETM	2급	을	ET
을/ETM	2급	을	ET
을/ETM	2급	을	ET
을/ETM	2급	을	ET
지/EC	5급	지	EC
지/EC	5급	지	EC
지/EC	5급	지	EC
지/EC	5급	지	EC
지/EC	5급	지	EC
지/EC	5급	지	EC
지/EC	5급	지	EC
지/EC	5급	지	EC
지만/EC	1급	지만	EC
지만/EC	1급	지만	EC
