게/EC	2급	게	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
고/EC	1급	고	EC
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
기/ETN	2급	기	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ/ETM	2급	ㄴ	ET
ㄴ다/EF	3급	ㄴ다	EF
ㄴ다/EF	3급	ㄴ다	EF
ㄴ다/EF	3급	ㄴ다	EF
ㄴ다/EF	3급	ㄴ다	EF
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는/ETM	2급	는	ET
는지/EC	4급	는지	EC
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
ㄹ/ETM	2급	ㄹ	ET
려면/EC	3급	려면	EC
면/EC	2급	면	EC
면서/EC	2급	면서	EC
면서/EC	2급	면서	EC
면서/EC	2급	면서	EC
면서/EC	2급	면서	EC
면서/EC	2급	면서	EC
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
ㅂ니다/EF	1급	ㅂ니다	EF
시/EP	1급	시	EP
시/EP	1급	시	EP
아서/EC	1급	아서	EC
아서/EC	1급	아서	EC
아야/EC	3급	아야	EC
아야/EC	3급	아야	EC
아야/EC	3급	아야	EC
았/EP	1급	았	EP
았/EP	1급	았	EP
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어/EC	1급	어	EC
어서/EC	1급	어서	EC
어서/EC	1급	어서	EC
어야/EC	3급	어야	EC
어야/EC	3급	어야	EC
어야/EC	3급	어야	EC
어야/EC	3급	어야	EC
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
었/EP	1급	었	EP
에요/EF	1급	에요	EF
은/ETM	2급	은	ET
은/ETM	2급	은	ET
은/ETM	2급	은	ET
은지/EC	4급	은지	EC
을/ETM	2급	을	ET
지/EC	5급	지	EC
지만/EC	1급	지만	EC
지만/EC	1급	지만	EC
